from_id,anbieter,stunde,median_gehzeit,tage_unter_5min,tage_gesamt,anteil_unter_5min,ms_pop
1037,Bolt,9,1,23,24,96,26
1037,Dott,6,1,21,22,95,26
1037,Dott,7,1,22,24,92,26
1037,Dott,8,1,21,23,91,26
1037,Dott,9,2,20,24,83,26
1038,Bolt,6,1,23,24,96,391
1038,Bolt,7,1,20,23,87,391
1038,Bolt,8,1.5,20,24,83,391
1038,Bolt,9,1,18,22,82,391
1038,Dott,6,1,23,24,96,391
1038,Dott,7,1,21,23,91,391
1038,Dott,8,2,21,24,88,391
1038,Dott,9,2,21,24,88,391
1039,Bolt,6,2,20,24,83,101
1039,Bolt,7,1,24,24,100,101
1039,Bolt,8,2,20,24,83,101
1039,Bolt,9,1,21,22,95,101
1039,Dott,6,1,21,24,88,101
1039,Dott,7,1,22,24,92,101
1039,Dott,8,1.5,22,24,92,101
1039,Dott,9,1,20,24,83,101
104,Bolt,6,2,19,24,79,391
104,Bolt,7,2,19,24,79,391
104,Bolt,8,2,16,24,67,391
104,Bolt,9,1.5,19,24,79,391
104,Dott,6,1,22,24,92,391
104,Dott,7,1,19,24,79,391
104,Dott,8,1,20,24,83,391
104,Dott,9,2,17,23,74,391
1040,Bolt,6,2,19,22,86,18
1040,Bolt,7,1,20,23,87,18
1040,Bolt,8,1,22,24,92,18
1040,Bolt,9,1,22,24,92,18
1040,Dott,6,1,24,24,100,18
1040,Dott,7,2,22,24,92,18
1040,Dott,8,2,21,23,91,18
1040,Dott,9,1,23,24,96,18
1040,Villo (cyclocity/JCDecaux),6,13,0,24,0,18
1040,Villo (cyclocity/JCDecaux),7,13,0,24,0,18
1040,Villo (cyclocity/JCDecaux),8,13,0,24,0,18
1040,Villo (cyclocity/JCDecaux),9,13,0,24,0,18
1041,Bolt,6,1,21,24,88,105
1041,Bolt,7,1,21,24,88,105
1041,Bolt,8,1,22,23,96,105
1041,Bolt,9,1,20,22,91,105
1041,Dott,6,1.5,20,24,83,105
1041,Dott,7,1,19,24,79,105
1041,Dott,8,1,20,24,83,105
1041,Dott,9,2,19,24,79,105
1041,Villo (cyclocity/JCDecaux),6,10,0,24,0,105
1041,Villo (cyclocity/JCDecaux),7,10,0,24,0,105
1041,Villo (cyclocity/JCDecaux),8,10,0,24,0,105
1041,Villo (cyclocity/JCDecaux),9,10,0,24,0,105
1042,Bolt,6,1,23,24,96,19
1042,Bolt,7,1.5,21,22,95,19
1042,Bolt,8,2,19,23,83,19
1042,Bolt,9,1,20,24,83,19
1042,Dott,6,1,22,24,92,19
1042,Dott,7,2,22,24,92,19
1042,Dott,8,1,20,24,83,19
1042,Dott,9,1,21,23,91,19
1042,Villo (cyclocity/JCDecaux),6,10,0,24,0,19
1042,Villo (cyclocity/JCDecaux),7,10,0,24,0,19
1042,Villo (cyclocity/JCDecaux),8,10,0,24,0,19
1042,Villo (cyclocity/JCDecaux),9,10,0,24,0,19
1043,Bolt,6,2,21,23,91,41
1043,Bolt,7,1,20,24,83,41
1043,Bolt,8,1,21,24,88,41
1043,Bolt,9,1.5,18,22,82,41
1043,Dott,6,1,22,24,92,41
1043,Dott,7,1,20,23,87,41
1043,Dott,8,2,20,23,87,41
1043,Dott,9,1,22,23,96,41
1043,Villo (cyclocity/JCDecaux),6,9,0,24,0,41
1043,Villo (cyclocity/JCDecaux),7,9,0,24,0,41
1043,Villo (cyclocity/JCDecaux),8,9,0,24,0,41
1043,Villo (cyclocity/JCDecaux),9,9,0,24,0,41
1044,Bolt,6,1,21,23,91,130
1044,Bolt,7,1,22,24,92,130
1044,Bolt,8,1,21,24,88,130
1044,Bolt,9,1,21,22,95,130
1044,Dott,6,1,19,23,83,130
1044,Dott,7,1,23,24,96,130
1044,Dott,8,1.5,21,24,88,130
1044,Dott,9,1,21,24,88,130
1044,Villo (cyclocity/JCDecaux),6,8,0,24,0,130
1044,Villo (cyclocity/JCDecaux),7,8,0,24,0,130
1044,Villo (cyclocity/JCDecaux),8,8,0,24,0,130
1044,Villo (cyclocity/JCDecaux),9,8,0,24,0,130
1045,Bolt,6,1,19,23,83,142
1045,Bolt,7,2,19,23,83,142
1045,Bolt,8,2,20,24,83,142
1045,Bolt,9,2.5,19,24,79,142
1045,Dott,6,1,22,24,92,142
1045,Dott,7,1,22,23,96,142
1045,Dott,8,1,23,24,96,142
1045,Dott,9,1,21,24,88,142
1045,Villo (cyclocity/JCDecaux),6,6,0,24,0,142
1045,Villo (cyclocity/JCDecaux),7,6,0,24,0,142
1045,Villo (cyclocity/JCDecaux),8,6,0,24,0,142
1045,Villo (cyclocity/JCDecaux),9,6,0,24,0,142
1046,Bolt,6,1,22,23,96,158
1046,Bolt,7,1,21,24,88,158
1046,Bolt,8,1,20,23,87,158
1046,Bolt,9,2,19,23,83,158
1046,Dott,6,1,21,24,88,158
